<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HNG,20150720,33.6000,33.6000,33.5000,33.5000,440870
HNG,20150721,34.5000,34.5000,32.0000,33.0000,398480
HNG,20150722,33.0000,33.1000,31.9000,33.1000,527560
HNG,20150723,32.8000,33.5000,32.7000,33.2000,526500
HNG,20150724,33.1000,33.3000,32.4000,33.2000,432500
HNG,20150727,32.0000,33.2000,32.0000,32.8000,493270
HNG,20150728,32.0000,32.5000,31.9000,32.1000,468920
HNG,20150729,31.3000,32.1000,31.3000,31.5000,409000
HNG,20150730,31.5000,31.5000,31.1000,31.2000,468360
HNG,20150731,31.2000,31.7000,30.7000,31.2000,502040
HNG,20150803,30.4000,30.5000,29.9000,30.1000,376060
HNG,20150804,29.4000,29.8000,28.8000,29.4000,625130
HNG,20150805,29.0000,29.2000,28.9000,29.2000,184520
HNG,20150806,29.3000,29.6000,29.0000,29.6000,238060
HNG,20150807,29.3000,29.5000,29.0000,29.1000,230200
HNG,20150810,29.0000,29.1000,28.6000,28.7000,179920
HNG,20150811,28.5000,28.8000,27.8000,27.8000,175940
HNG,20150812,28.0000,28.1000,27.8000,28.1000,187300
HNG,20150813,28.3000,28.3000,27.9000,28.3000,188100
HNG,20150814,28.5000,28.5000,28.0000,28.0000,177850
HNG,20150817,27.7000,28.2000,27.7000,27.9000,142780
HNG,20150818,27.9000,28.0000,27.5000,27.6000,156920
HNG,20150819,27.5000,27.5000,25.7000,25.7000,103280
HNG,20150820,26.2000,26.3000,25.5000,26.1000,162710
HNG,20150821,26.3000,26.3000,25.0000,25.8000,255500
HNG,20150824,25.5000,25.6000,24.0000,25.0000,328390
HNG,20150825,25.0000,25.5000,24.0000,25.5000,220390
HNG,20150826,25.2000,27.0000,25.2000,27.0000,269500
HNG,20150827,26.8000,27.9000,26.8000,27.9000,248970
HNG,20150828,27.9000,28.0000,27.5000,27.8000,259420
HNG,20150831,27.5000,28.3000,27.3000,27.7000,172980
HNG,20150901,27.5000,27.7000,27.4000,27.6000,190670
HNG,20150903,27.5000,28.0000,27.5000,27.6000,187190
HNG,20150904,27.5000,27.8000,27.5000,27.6000,202660
HNG,20150907,27.4000,28.0000,27.4000,28.0000,197040
HNG,20150908,27.9000,28.1000,27.8000,28.1000,202550
HNG,20150909,28.0000,28.4000,28.0000,28.4000,197100
HNG,20150910,28.2000,29.0000,28.2000,28.5000,186700
HNG,20150911,28.3000,28.8000,28.1000,28.1000,198610
HNG,20150914,27.3000,28.1000,27.3000,28.0000,206040
HNG,20150915,27.7000,29.9000,27.7000,29.9000,272490
HNG,20150916,30.8000,30.8000,29.3000,29.3000,216990
HNG,20150917,29.0000,29.5000,28.8000,28.8000,215450
HNG,20150918,28.6000,29.0000,28.6000,28.6000,205800
HNG,20150921,28.3000,29.0000,28.3000,28.7000,217210
HNG,20150922,28.4000,28.9000,28.3000,28.3000,225620
HNG,20150923,28.0000,28.3000,28.0000,28.0000,211520
HNG,20150924,27.7000,28.3000,27.7000,27.9000,223420
HNG,20150925,27.7000,28.3000,27.7000,28.3000,221240
HNG,20150928,28.1000,28.5000,28.1000,28.4000,214210
HNG,20150929,28.2000,28.5000,28.1000,28.4000,217460
HNG,20150930,27.6000,28.5000,27.6000,28.4000,213850
HNG,20151001,28.2000,28.6000,28.2000,28.6000,203260
HNG,20151002,28.3000,28.8000,28.3000,28.7000,196170
HNG,20151005,28.5000,28.8000,28.5000,28.7000,190660
HNG,20151006,28.7000,29.1000,28.5000,29.0000,307350
HNG,20151007,29.0000,29.1000,28.7000,28.7000,245620
HNG,20151008,28.6000,28.8000,28.5000,28.5000,183690
HNG,20151009,28.5000,28.8000,28.5000,28.8000,261820
HNG,20151012,28.6000,28.9000,28.5000,28.6000,220190
HNG,20151013,28.6000,28.7000,28.3000,28.3000,211900
HNG,20151014,28.3000,28.5000,28.2000,28.2000,215710
HNG,20151015,28.2000,28.4000,28.1000,28.2000,223790
HNG,20151016,28.2000,28.5000,26.7000,28.3000,205350
HNG,20151019,28.2000,28.5000,28.2000,28.3000,206780
HNG,20151020,28.3000,28.5000,28.1000,28.1000,209690
HNG,20151021,28.1000,28.2000,28.0000,28.0000,212100
HNG,20151022,27.8000,28.4000,27.8000,28.1000,205090
HNG,20151023,28.0000,28.2000,28.0000,28.1000,199580
HNG,20151026,28.1000,28.3000,28.0000,28.1000,202030
HNG,20151027,28.2000,28.4000,28.1000,28.4000,174500
HNG,20151028,28.4000,28.5000,28.1000,28.1000,192910
HNG,20151029,28.1000,28.3000,28.1000,28.2000,198760
HNG,20151030,28.2000,30.1000,28.1000,30.1000,218730
HNG,20151102,29.9000,31.1000,29.7000,31.1000,255790
HNG,20151103,31.0000,31.7000,30.6000,31.3000,218110
HNG,20151104,31.2000,31.5000,31.0000,31.3000,200820
HNG,20151105,31.1000,31.5000,31.1000,31.3000,207850
HNG,20151106,31.3000,31.7000,30.9000,31.0000,313400
HNG,20151109,31.0000,31.5000,30.9000,30.9000,266500
HNG,20151110,30.9000,31.2000,30.5000,30.5000,271820
HNG,20151111,30.3000,30.8000,30.3000,30.6000,302500
HNG,20151112,30.6000,30.8000,30.3000,30.4000,252600
HNG,20151113,30.3000,30.8000,30.3000,30.6000,300590
HNG,20151116,30.6000,30.9000,30.4000,30.5000,334360
HNG,20151117,30.5000,31.0000,30.5000,30.7000,401620
HNG,20151118,30.7000,31.0000,30.5000,30.5000,404680
HNG,20151119,30.5000,30.8000,30.2000,30.5000,395830
HNG,20151120,30.5000,30.8000,30.3000,30.6000,344240
HNG,20151123,30.6000,30.8000,30.6000,30.7000,251250
HNG,20151124,30.7000,30.8000,30.6000,30.6000,332000
HNG,20151125,30.5000,31.8000,30.5000,31.8000,747500
HNG,20151126,31.8000,31.9000,31.4000,31.8000,739340
HNG,20151127,31.4000,32.1000,31.3000,31.3000,692030
HNG,20151130,31.1000,31.3000,30.9000,31.1000,1387670
HNG,20151201,30.8000,31.4000,30.8000,31.0000,475530
HNG,20151202,31.0000,31.1000,30.4000,30.7000,316340
HNG,20151203,30.7000,30.9000,30.3000,30.5000,454100
HNG,20151204,30.5000,30.6000,29.9000,29.9000,267890
HNG,20151207,29.9000,30.2000,29.0000,29.1000,274400
HNG,20151208,29.0000,29.0000,28.0000,28.3000,245500
HNG,20151209,28.3000,28.6000,28.2000,28.4000,247990
HNG,20151210,28.4000,28.9000,28.4000,28.5000,253690
HNG,20151211,28.4000,28.7000,28.2000,28.4000,249050
HNG,20151214,28.5000,28.9000,28.3000,28.5000,255830
HNG,20151215,28.4000,28.9000,28.4000,28.6000,253140
HNG,20151216,28.6000,28.9000,28.3000,28.5000,284870
HNG,20151217,28.5000,28.9000,28.3000,28.6000,253090
HNG,20151218,28.6000,28.7000,28.3000,28.5000,304200
HNG,20151221,28.5000,29.0000,28.5000,28.5000,254800
HNG,20151222,28.5000,29.0000,28.5000,28.6000,257090
HNG,20151223,28.6000,29.1000,28.5000,28.6000,261910
HNG,20151224,28.6000,29.0000,28.5000,28.7000,259680
HNG,20151225,28.7000,29.0000,28.5000,28.8000,302740
HNG,20151228,28.8000,29.4000,28.7000,28.8000,289070
HNG,20151229,28.8000,29.3000,28.7000,28.8000,321830
HNG,20151230,28.8000,29.2000,28.7000,28.8000,298500
HNG,20151231,28.8000,29.2000,28.8000,28.8000,404840
HNG,20160104,28.9000,29.4000,28.9000,29.0000,253920
HNG,20160105,28.9000,29.2000,28.9000,29.0000,283940
HNG,20160106,28.9000,29.0000,28.5000,28.7000,292470
HNG,20160107,28.7000,29.2000,28.5000,28.7000,404110
HNG,20160108,28.7000,28.9000,28.3000,28.6000,403580
HNG,20160111,28.6000,29.2000,28.6000,28.8000,300750
HNG,20160112,28.7000,28.7000,27.5000,27.9000,253240
HNG,20160113,27.7000,27.7000,27.0000,27.0000,194350
HNG,20160114,26.9000,26.9000,25.2000,25.2000,179280
HNG,20160115,25.2000,25.4000,23.5000,24.0000,178350
HNG,20160118,23.5000,24.0000,22.4000,24.0000,147110
HNG,20160119,23.7000,23.7000,22.5000,23.1000,86480
HNG,20160120,22.8000,23.2000,22.4000,23.0000,109810
HNG,20160121,22.5000,22.5000,21.4000,22.5000,129000
HNG,20160122,21.5000,21.9000,21.0000,21.9000,32650
HNG,20160125,20.4000,20.4000,20.4000,20.4000,4100
HNG,20160126,19.0000,19.0000,19.0000,19.0000,2350
HNG,20160127,17.7000,17.7000,17.7000,17.7000,6380
HNG,20160128,16.5000,16.5000,16.5000,16.5000,5630
HNG,20160129,15.4000,15.4000,15.4000,15.4000,64500
HNG,20160201,14.4000,14.4000,14.4000,14.4000,11750
HNG,20160202,13.4000,13.4000,13.4000,13.4000,47890
HNG,20160203,12.5000,12.5000,12.5000,12.5000,8430
HNG,20160204,11.7000,11.7000,11.7000,11.7000,250950
HNG,20160205,10.9000,10.9000,10.9000,10.9000,143530
HNG,20160215,10.2000,10.2000,10.2000,10.2000,49090
HNG,20160216,9.5000,9.5000,9.5000,9.5000,110110
HNG,20160217,8.9000,8.9000,8.9000,8.9000,55470
HNG,20160218,8.3000,8.3000,8.3000,8.3000,70020
HNG,20160219,7.8000,8.8000,7.8000,8.8000,41740780
HNG,20160222,9.4000,9.4000,9.3000,9.4000,3243810
HNG,20160223,10.0000,10.0000,9.9000,10.0000,3860400
HNG,20160224,9.3000,9.7000,9.3000,9.3000,18805640
HNG,20160225,9.4000,9.5000,8.7000,8.8000,9997540
HNG,20160226,8.8000,9.0000,8.4000,8.6000,3723360
HNG,20160229,8.4000,8.5000,8.0000,8.0000,7066940
HNG,20160301,7.9000,8.4000,7.9000,8.1000,7692220
HNG,20160302,8.3000,8.3000,8.0000,8.0000,3043880
HNG,20160303,8.0000,8.0000,7.5000,7.5000,9700900
HNG,20160304,7.4000,8.0000,7.3000,7.7000,8871920
HNG,20160307,8.0000,8.2000,8.0000,8.2000,5885620
HNG,20160308,8.2000,8.4000,7.9000,8.0000,5231970
HNG,20160309,8.0000,8.1000,7.9000,8.0000,3826340
HNG,20160310,8.1000,8.5000,8.1000,8.5000,7918420
HNG,20160311,8.5000,9.0000,8.4000,8.8000,12317230
HNG,20160314,8.7000,8.9000,8.5000,8.9000,4362150
HNG,20160315,8.5000,9.4000,8.4000,9.4000,13449700
HNG,20160316,9.2000,10.0000,9.2000,9.8000,8172290
HNG,20160317,9.9000,10.2000,9.6000,9.8000,5615880
HNG,20160318,9.8000,10.0000,9.7000,10.0000,10240850
HNG,20160321,9.9000,10.1000,9.3000,9.3000,4516960
HNG,20160322,9.1000,9.2000,8.7000,8.8000,4705500
HNG,20160323,8.8000,9.4000,8.6000,9.4000,3039680
HNG,20160324,9.3000,9.5000,8.9000,9.0000,2313180
